Reviews,Positive,Negative,Neutral
battery backup excellent feature great price camera quality satisfactory offer good value money,0.661,0.0,0.339
phone right battery life decent lack advanced feature camera okay provide reasonable value cost,0.339,0.124,0.538
nice phone overall battery backup good display vibrant camera quality decent make great value money,0.609,0.0,0.391
phone look good fast decent price screen nice amole unfortunately simply lose connection tmobile time register network place phone connect problem unreliable product return fortunately seller breed professional accept return good seller,0.255,0.177,0.568
great buy battery life good phone offer great value money reliable device,0.628,0.0,0.372
good cellphone battery backup decent great price camera quality satisfactory,0.576,0.0,0.424
phone work like charm brazil good great battery life great excellent value money,0.789,0.0,0.211
phone easy set not try put chip international company ifi work fast battery life decent,0.172,0.0,0.828
phone work battery backup satisfactory display clear offer good value money,0.598,0.0,0.402
phone great battery life decent fantastic value money camera quality satisfactory,0.643,0.0,0.357
unfortunately work verizon battery life average good value money,0.387,0.175,0.438
phone easy set not try put chip international company ifi work fast battery life decent,0.172,0.0,0.828
phone work battery backup satisfactory display clear offer good value money,0.598,0.0,0.402
phone great battery life decent fantastic value money camera quality satisfactory,0.643,0.0,0.357
phone excellent value price battery life impressive offer basic feature need camera quality satisfactory make great purchase,0.571,0.0,0.429
find phone reliable battery backup decent easy set camera work regular use provide good value money,0.387,0.0,0.613
need phone mainly call perfect battery last long time userfriendly camera basic functional great value,0.459,0.0,0.541
battery life average phone decent price camera quality well okay choice not expect,0.267,0.0,0.733
get phone elderly mom love big button easy use excellent make call battery life good need,0.533,0.0,0.467
phone simple reliable battery backup satisfactory great basic use camera outstanding get job,0.515,0.0,0.485
phone suitable heavy use battery life disappointing struggle multitaske camera quality average good basic task,0.142,0.27,0.588
decent budget phone battery backup acceptable get job regular use camera exceptional fair price,0.277,0.0,0.723
simple phone need perfect battery life reliable userfriendly camera basic functional excellent value cost,0.471,0.0,0.529
phone lack advanced feature battery life average good gaming heavy usage camera okay casual photo,0.411,0.11,0.478
good basic phone battery backup satisfactory great make call send text camera quality basic decent,0.442,0.0,0.558
phone limit feature battery life average suitable advanced task camera quality okay okay choice basic use,0.309,0.0,0.691
phone reliable make call battery last long time straightforward use camera basic work occasional photo,0.0,0.0,1.0
need simple effective phone good choice battery backup reasonable great basic communication camera job,0.479,0.0,0.521
affordable functional phone battery life decent easy operate camera quality basic work everyday photo,0.182,0.0,0.818
experience connectivity issue phone battery life average frequently lose network connection recommend,0.164,0.178,0.658
basic reliable phone battery backup good perfect simple task camera quality sufficient regular photo,0.355,0.0,0.645
buy phone elderly aunt suit need battery life good big button easy use great call,0.452,0.0,0.548
phone easy use battery life impressive great everyday task camera quality decent casual photo excellent value,0.645,0.0,0.355
phone deliver average performance battery life okay good multitaske camera basic functional,0.324,0.0,0.676
purchase senior mother love battery last long time simple navigate excellent call text,0.418,0.0,0.582
phone affordable option battery backup decent handle standard use camera quality acceptable everyday photo,0.15,0.0,0.85
disappoint battery life drain quickly charge frequently camera basic work casual photo,0.124,0.186,0.69
phone userfriendly battery life good ideal basic task camera quality acceptable regular use good value price,0.558,0.0,0.442
good phone price battery backup reasonable sufficient everyday use camera quality basic work,0.195,0.0,0.805
phone reliable simple use battery life impressive great make call camera quality basic functional,0.381,0.0,0.619
average budget phone battery life okay decent basic communication camera quality ordinary,0.147,0.0,0.853
phone job basic use battery backup satisfactory userfriendly camera quality fair regular photo,0.304,0.0,0.696
get phone elderly father perfect need battery life reliable simple design make easy use,0.355,0.0,0.645
phone game battery life average struggle demand app camera quality okay casual use,0.224,0.23,0.545
battery life phone excellent last day normal usage camera quality well expect outstanding value money,0.526,0.0,0.474
good phone everyday use battery backup reasonable handle standard task camera basic get job,0.182,0.0,0.818
