Reviews,Positive,Negative,Neutral
battery life speak powerhungry beast,0.0,0.0,1.0
feature jumbled mismatched puzzle not fit,0.0,0.297,0.703
camera blurry nightmare photo unrecognizable,0.0,0.259,0.741
battery perform vanish act go flash,0.0,0.0,1.0
display dull abyss lifeless uninspire,0.0,0.403,0.597
money waste dud regretful investment,0.0,0.794,0.206
feature confusing maze lead frustration,0.0,0.625,0.375
frustration endless symphony stop,0.0,0.726,0.274
regret unwanted companion phone,0.0,0.701,0.299
camera ruin shoot photography disaster,0.0,0.837,0.163
battery neverlasting disappointment,0.0,0.623,0.377
display window desolation void life,0.0,0.0,1.0
money burn vain phone disappointment,0.0,0.67,0.33
navigate phone feature baffling labyrinth,0.0,0.0,1.0
phone battery backup poor disappointing,0.0,0.677,0.323
constant battery backup woe frustrating,0.0,0.655,0.345
inconsistent battery backup major issue,0.0,0.0,1.0
regretful purchase unreliable battery backup,0.0,0.42,0.58
significant disappointment battery backup,0.254,0.465,0.282
battery backup constant letdown,0.0,0.0,1.0
ongoing frustration battery backup,0.0,0.508,0.492
phone plague battery backup problem,0.0,0.403,0.597
aste time charge inadequate battery backup,0.0,0.351,0.649
phone battery backup highly unreliable,0.0,0.0,1.0
persistent battery backup issue frustrating,0.0,0.42,0.58
phone battery backup consistently fail,0.0,0.467,0.533
short battery backup constant recharging,0.0,0.0,1.0
regretful purchase poor battery backup,0.0,0.667,0.333
charge unreliable battery backup,0.0,0.0,1.0
inadequate battery backup frequent recharging,0.0,0.403,0.597
ongoing discontent battery backup,0.0,0.0,1.0
persistent issue battery backup,0.0,0.0,1.0
battery backup fall short expectation,0.0,0.0,1.0
battery backup constant headache,0.0,0.0,1.0
battery backup significant letdown,0.375,0.0,0.625
constant frustration battery backup,0.0,0.508,0.492
major disappointment battery backup,0.0,0.524,0.476
battery backup drain rapidly cause annoyance,0.0,0.315,0.685
phone battery backup life poor barely last,0.0,0.341,0.659
ongoing frustration battery backup,0.0,0.508,0.492
battery backup unimpressive not,0.0,0.444,0.556
constant backup woe reliable,0.0,0.483,0.517
battery backup highly unreliable,0.0,0.0,1.0
inadequate battery backup life constant recharging,0.0,0.351,0.649
battery backup fall short expectation,0.0,0.0,1.0
battery backup constant headache,0.0,0.0,1.0
frustration endless serenade phone,0.0,0.508,0.492
regret incessant reminder poor decision,0.0,0.663,0.337
feature lose puzzle perplexing maze,0.0,0.403,0.597
camera conjuror blurriness good,0.492,0.0,0.508
battery phantom evaporator disappear,0.0,0.388,0.612
display color fade away dreary,0.0,0.375,0.625
money spend phone abyss disappointment,0.0,0.452,0.548
phone feature confound enigma perplex,0.0,0.0,1.0
frustration unending duet disappointing device,0.0,0.677,0.323
regret unwanted ghost haunt choice,0.0,0.907,0.093
phone feature lose maze impracticality,0.0,0.403,0.597
camera master ruin wreck shot,0.0,0.691,0.309
battery phantom drainer haunt day,0.0,0.403,0.597
display window despair uninspiring,0.0,0.434,0.566
money throw wind unwise purchase,0.0,0.0,1.0
phone feature frustrating enigma perplex,0.0,0.42,0.58
frustration endless duet disappointing device,0.0,0.677,0.323
