Ratings,Comment             ,Reviews
1, Compatibility issues with Caller-ID in South... , My cell apparently does not work properly with Caller-ID in South America as the Firmware is tailored for Switzerland! Samsung official service does not grant any solution as they do not have after-sales service for this model!
5," Highly satisfied with the phone, difficulty...   ", Awesome phone. Love it. Hard to find good cases though
5," Switched from an Apple Six Plus, very...         "," Really sweet device, I dumped my Apple Six Plus to switch to Samsung and I am much more satisfied than with the Apple 6 plus."
5, Excellent                                          , Excellent phone and good camera quality.
5, Great phone and seller.                           , Great phone and great seller
5, Occasional issues with erratic behavior and...     ," It acts a little crazy sometimes and the battery runs down so quickly, but am working with it"
5," Very pleased with the item, matches the...       ", I am very pleased with this item. It came as described by the seller.
1," Severe battery issues, extremely short...         "," Battery is so bad bad bad bad. It only works less than 4 hours. I need the seller to send me the regional battery, otherwise I will return it."
5," Outstanding battery life, feature-packed, great camera, crisp display, excellent value for money. "," This phone is a powerhouse! The battery life is outstanding, and the features are top-notch. The camera quality is superb, and the display is crisp. It's an excellent value for money."
5," Long-lasting battery, feature-rich, camera is exceptional, great battery performance, vibrant display, worth every penny. "," I can't believe how long the battery lasts on this phone. It's packed with features, and the camera is exceptional. Battery performance is great, and the display is so vibrant. This phone is worth every penny."
5," Superb battery life, feature-packed, camera is top-notch, battery is fantastic, stunning display, incredible value. "," The battery life on this phone is superb. It's loaded with features, and the camera is top-notch. The battery is fantastic, and the display is stunning. Incredible value for money."
5," Impressive battery longevity, rich in features, excellent camera, outstanding battery, gorgeous display, money well spent. "," I'm impressed with how long the battery lasts. This phone is rich in features, and the camera is excellent. The battery performance is outstanding, and the display is gorgeous. Money well spent."
5," Exceptional battery performance, packed with features, top-quality camera, great battery life, stunning display, an amazing deal. "," The battery performance is exceptional. This phone is packed with features, and the camera is top-quality. Great battery life, and the display is stunning. It's an amazing deal."
5," Remarkable battery life, feature-rich, camera exceeds expectations, battery lasts all day, beautiful display, worth every cent. "," The battery life is truly remarkable. It's feature-rich, and the camera exceeds expectations. The battery lasts all day, and the display is beautiful. Worth every cent."
5," Unbelievable battery longevity, feature-packed, camera is exceptional, superb battery, stunning display, an excellent investment. "," I can't believe how long the battery lasts. This phone is feature-packed, and the camera is exceptional. The battery performance is superb, and the display is stunning. An excellent investment."
5," Exceptional battery backup, loaded with features, camera is top-tier, battery is amazing, vivid display, money well spent. "," The battery backup is exceptional. This phone is loaded with features, and the camera is top-tier. The battery is amazing, and the display is vivid. Money well spent."
5," Phenomenal battery life, feature-rich, camera performance is outstanding, long-lasting battery, beautiful display, an incredible value. "," The battery life is phenomenal. This phone is feature-rich, and the camera performance is outstanding. It has a long-lasting battery, and the display is beautiful. It's an incredible value."
1," Terrible battery life, lacking features, camera disappoints, poor battery performance, dull display, not worth the money. "," The battery life is terrible. It's lacking features, and the camera disappoints. The battery performance is poor, and the display is dull. This phone is not worth the money."
5," Excellent battery longevity, feature-packed, camera is superb, great battery, vibrant display, fantastic value for money. "," The battery longevity is excellent. This phone is feature-packed, and the camera is superb. The battery is great, and the display is vibrant. It's fantastic value for money."
5," Incredible battery life, loaded with features, camera is exceptional, long-lasting battery, stunning display, a great purchase. "," The battery life is incredible. This phone is loaded with features, and the camera is exceptional. It has a long-lasting battery, and the display is stunning. It's a great purchase."
5," Outstanding battery performance, rich in features, camera exceeds expectations, amazing battery life, beautiful display, worth every penny. "," The battery performance is outstanding. This phone is rich in features, and the camera exceeds expectations. The battery life is amazing, and the display is beautiful. Worth every penny."
5," Superb battery life, feature-rich, camera is top-notch, great battery performance, vivid display, incredible value. "," The battery life on this phone is superb. It's feature-rich, and the camera is top-notch. Great battery performance, and the display is vivid. It offers incredible value for money."
5," Impressive battery longevity, packed with features, excellent camera, outstanding battery, gorgeous display, money well spent. "," I'm impressed with how long the battery lasts. This phone is packed with features, and the camera is excellent. The battery performance is outstanding, and the display is gorgeous. Money well spent."
5," Exceptional battery performance, loaded with features, top-quality camera, great battery life, stunning display, an amazing deal. "," The battery performance is exceptional. This phone is loaded with features, and the camera is top-quality. Great battery life, and the display is stunning. It's an amazing deal."
5," Remarkable battery life, feature-rich, camera exceeds expectations, battery lasts all day, beautiful display, worth every cent. "," The battery life is truly remarkable. It's feature-rich, and the camera exceeds expectations. The battery lasts all day, and the display is beautiful. Worth every cent."
5," Unbelievable battery longevity, feature-packed, camera is exceptional, superb battery, vivid display, money well spent. "," I can't believe how long the battery lasts. This phone is feature-packed, and the camera is exceptional. The battery is superb, and the display is vivid. Money well spent."
5," Exceptional battery backup, loaded with features, camera is top-tier, battery is amazing, incredible display, an excellent investment. "," The battery backup is exceptional. This phone is loaded with features, and the camera is top-tier. The battery is amazing, and the display is incredible. It's an excellent investment."
1," Terrible battery life, lacking features, camera disappoints, poor battery performance, dull display, not worth the money. "," The battery life is terrible. It's lacking features, and the camera disappoints. The battery performance is poor, and the display is dull. This phone is not worth the money."
5," Excellent battery longevity, feature-packed, camera is superb, great battery, vibrant display, fantastic value for money. "," The battery longevity is excellent. This phone is feature-packed, and the camera is superb. The battery is great, and the display is vibrant. It's fantastic value for money."
5," Excellent battery life, feature-rich, superb camera, stunning display, and great value for money. "," The Samsung Note 4 is an outstanding device. The battery life is excellent, lasting through long days of use. It's feature-rich with an array of functionalities that cater to every need. The camera is superb, capturing sharp and vibrant photos. The display is stunning, offering vivid colors and clarity. At its price, it's an excellent value for money."
5," Impressive battery longevity, feature-packed, and the camera doesn't disappoint. Stunning display and worth every cent. "," The Note 4 boasts an impressive battery life, ensuring you stay powered throughout the day. It's packed with a wide range of features that make daily tasks a breeze. The camera doesn't disappoint, delivering high-quality shots. The display is stunning, providing a visually appealing experience. This device is worth every cent."
5," Exceptional battery performance, loaded with features, top-tier camera, and an amazing investment. "," The battery performance is exceptional, lasting for hours even with heavy usage. The Note 4 is loaded with features, offering convenience and versatility. The camera is top-tier, capturing sharp and detailed photos. This device is an amazing investment in your digital experience."
5," Outstanding battery life, feature-rich, superb camera, and a fantastic value. "," The Samsung Note 4 shines with its outstanding battery life, allowing you to use it all day without worries. It's feature-rich, offering a diverse set of tools and options. The camera is superb, producing high-quality photos and videos. All of this comes at a fantastic value."
5," Superb battery performance, feature-packed, and a camera that exceeds expectations. "," The Note 4 offers superb battery performance, ensuring you have power when you need it. It's feature-packed, making it versatile and adaptable to various needs. The camera goes above and beyond, capturing stunning shots. A great device all around."
5," Incredible battery life, loaded with features, and the camera is top-notch. "," The battery life of the Note 4 is incredible, lasting for extended periods. It's loaded with features, providing tools and applications for various purposes. The camera is top-notch, delivering high-quality photos and videos. This device is well-rounded and versatile."
5," Outstanding battery performance, rich in features, and the camera doesn't disappoint. "," The battery performance is outstanding, keeping you connected all day. The Note 4 is rich in features, offering a versatile and practical experience. The camera doesn't disappoint, capturing beautiful memories. A great value for what it offers."
5," Excellent battery longevity, feature-rich, and camera performance that exceeds expectations. "," The Note 4 has excellent battery longevity, ideal for long days. It's feature-rich, providing a wide array of functionalities. The camera performance exceeds expectations, delivering sharp and vibrant photos. An excellent choice."
5," Impressive battery performance, loaded with features, and the camera is superb. "," The Note 4's battery performance is impressive, ensuring you have power when you need it. It's loaded with features, making it versatile and practical. The camera is superb, capturing stunning shots. An all-around great device."
5," Outstanding battery life, rich in features, and the camera exceeds expectations. "," The Note 4 offers outstanding battery life, ensuring you stay connected all day. It's rich in features, offering practical tools and apps. The camera exceeds expectations, providing sharp and detailed photos. A great value for money."
5," Superb battery performance, feature-packed, and the camera is top-notch. "," The battery performance of the Note 4 is superb, lasting for extended periods. It's feature-packed, offering a versatile and practical experience. The camera is top-notch, capturing beautiful memories."
5," Incredible battery longevity, packed with features, and camera performance that exceeds expectations. "," The Note 4 has incredible battery longevity, ensuring you stay powered all day. It's packed with features, making it versatile and adaptable. The camera performance exceeds expectations, delivering beautiful photos and videos."
