Reviews,Positive,Negative,Neutral
cell apparently work properly callerid south america firmware tailor switzerland samsung official service grant solution aftersale service model,0.231,0.0,0.769
awesome phone love hard find good case,0.718,0.09,0.192
sweet device dump apple plus switch samsung satisfied apple plus,0.377,0.169,0.455
excellent phone good camera quality,0.688,0.0,0.312
great phone great seller,0.804,0.0,0.196
act little crazy battery run quickly work,0.0,0.26,0.74
pleased item come describe seller,0.42,0.0,0.58
battery bad bad bad bad work hour need seller send regional battery return,0.0,0.609,0.391
phone powerhouse battery life outstanding feature topnotch camera quality superb display crisp excellent value money,0.563,0.0,0.437
not believe long battery last phone pack feature camera exceptional battery performance great display vibrant phone worth penny,0.385,0.0,0.615
battery life phone superb load feature camera topnotch battery fantastic display stunning incredible value money,0.536,0.0,0.464
m impressed long battery last phone rich feature camera excellent battery performance outstanding display gorgeous money spend,0.626,0.0,0.374
battery performance exceptional phone pack feature camera topquality great battery life display stun amazing deal,0.378,0.0,0.622
battery life truly remarkable featurerich camera exceed expectation battery last day display beautiful orth cent,0.464,0.0,0.536
not believe long battery last phone featurepacke camera exceptional battery performance superb display stun excellent investment,0.358,0.0,0.642
battery backup exceptional phone load feature camera toptier battery amazing display vivid money spend,0.226,0.0,0.774
battery life phenomenal phone featurerich camera performance outstanding longlaste battery display beautiful incredible value,0.484,0.0,0.516
battery life terrible lack feature camera disappoint battery performance poor display dull phone worth money,0.077,0.56,0.363
battery longevity excellent phone featurepacke camera superb battery great display vibrant fantastic value money,0.727,0.0,0.273
battery life incredible phone load feature camera exceptional longlaste battery display stun great purchase,0.24,0.0,0.76
battery performance outstanding phone rich feature camera exceed expectation battery life amazing display beautiful orth penny,0.56,0.0,0.44
battery life phone superb featurerich camera topnotch great battery performance display vivid offer incredible value money,0.449,0.0,0.551
m impressed long battery last phone pack feature camera excellent battery performance outstanding display gorgeous money spend,0.552,0.0,0.448
battery performance exceptional phone load feature camera topquality great battery life display stun amazing deal,0.378,0.0,0.622
battery life truly remarkable featurerich camera exceed expectation battery last day display beautiful orth cent,0.464,0.0,0.536
not believe long battery last phone featurepacke camera exceptional battery superb display vivid money spend,0.227,0.0,0.773
