Reviews,Positive,Negative,Neutral
battery backup excellent last long time,0.425,0.0,0.575
load impressive feature stand,0.524,0.0,0.476
camera capture stunning photo video,0.394,0.0,0.606
battery performance consistently reliable,0.0,0.0,1.0
display vibrant offer great visual experience,0.652,0.0,0.348
provide great value money worth penny,0.737,0.0,0.263
battery backup fantastic last day,0.474,0.0,0.526
pack topnotch feature enhance usability,0.0,0.0,1.0
camera deliver superb result satisfied,0.697,0.0,0.303
display quality exceptional sharp vivid,0.0,0.0,1.0
battery backup stellar rarely need charge,0.0,0.0,1.0
phone featurepacke delight need,0.565,0.0,0.435
camera performance excellent capture memorie beautifully,0.649,0.0,0.351
battery performance pathetic barely last,0.0,0.481,0.519
confuse feature phone struggle,0.0,0.677,0.323
camera disappoint blurry unsatisfactory photo,0.0,0.577,0.423
display nightmare blurry hard use,0.0,0.483,0.517
worry battery consistently reliable,0.0,0.492,0.508
camera pictureperfect love shot,0.583,0.0,0.417
stunning display quality take visual level,0.342,0.0,0.658
phone battery life masterpiece endurance,0.506,0.0,0.494
userfriendly feature phone joy use,0.487,0.0,0.513
camera deliver excellence click,0.577,0.0,0.423
phone valueformoney gem exceed expectation,0.0,0.0,1.0
battery go distance truly reliable,0.42,0.0,0.58
featurerich powerhouse not disappoint,0.429,0.0,0.571
cameras brilliance shine photo,0.565,0.0,0.435
experience display perfection vibrant color,0.703,0.0,0.297
unmatched value money incredible purchase,0.358,0.194,0.448
allday battery champ need worry,0.344,0.322,0.333
enjoy toptier feature seamless experience,0.444,0.0,0.556
camera captivate capture detail,0.0,0.0,1.0
display work like magic vivid clear,0.56,0.0,0.44
exceptional battery performance last,0.0,0.0,1.0
phone featurerich wonder impress,0.492,0.0,0.508
camera consistently wow result,0.559,0.0,0.441
enjoy crisp vibrant display use,0.688,0.0,0.312
offer unbeatable value worth penny,0.589,0.0,0.411
battery endurance impressive charge worry,0.359,0.315,0.326
feature amaze life easy,0.762,0.0,0.238
camera perfection capture memorie beautifully,0.712,0.0,0.288
battery backup impressive last day,0.452,0.0,0.548
load wellrounded feature convenience,0.0,0.0,1.0
camera deliver aboveaverage result,0.0,0.0,1.0
battery life reliable sudden drain,0.0,0.0,1.0
enjoy vibrant display vivid color,0.688,0.0,0.312
good value money solid purchase,0.775,0.0,0.225
satisfactory battery performance get job,0.385,0.0,0.615
userfriendly feature navigation easy,0.492,0.0,0.508
camera consistently deliver quality shot,0.0,0.0,1.0
display clear sharp visual treat,0.639,0.0,0.361
orth money spend decent buy,0.0,0.0,1.0
phone offer decent battery backup,0.0,0.0,1.0
functional feature cater need,0.0,0.0,1.0
camera job capture memorie,0.0,0.0,1.0
balanced display good clarity,0.737,0.0,0.263
great bang buck impressive,0.787,0.0,0.213
battery perform complaint,0.0,0.524,0.476
