Reviews,Positive,Negative,Neutral
buy gift tell exactly want feature family happy,0.612,0.0,0.388
ife not like wout great,0.0,0.643,0.357
nice phone good performance,0.74,0.0,0.26
connect lte,0.0,0.0,1.0
good battery performance camera quality,0.42,0.0,0.58
phone impressive battery life last day feature outstanding camera capture stunning photo battery performance solid display brilliant offer great value money,0.609,0.0,0.391
fantastic device battery life topnotch feature exceptional camera work like charm battery performance great stunning display excellent value,0.663,0.0,0.337
battery truly remarkable last heavy use feature plentiful camera take outstanding photo battery performance solid display visual delight provide excellent value money,0.596,0.0,0.404
outstanding phone exceptional battery life feature toptier camera capture moment beautifully battery performance impressive display stun offer great value,0.556,0.0,0.444
exceptional performance aspect battery life impressive feature outstanding camera creative tool battery performance solid stunning display excellent value,0.651,0.0,0.349
great battery backup keep go day feature impressive camera take stunning photo battery performance solid display brilliant offer excellent value money,0.606,0.0,0.394
phenomenal device impressive battery life feature topnotch camera capture moment beautifully battery performance solid display visual delight provide excellent value money,0.554,0.0,0.446
outstanding performance battery life impressive feature exceptional camera work like charm battery performance solid stunning display great value,0.699,0.0,0.301
phone impressive battery life last day feature outstanding camera capture stunning photo battery performance solid display brilliant offer great value money,0.609,0.0,0.391
fantastic device battery life topnotch feature exceptional camera work like charm battery performance great stunning display excellent value,0.663,0.0,0.337
battery truly remarkable last heavy use feature plentiful camera take outstanding photo battery performance solid display visual delight provide excellent value money,0.596,0.0,0.404
outstanding phone exceptional battery life feature toptier camera capture moment beautifully battery performance impressive display stun offer great value,0.556,0.0,0.444
exceptional performance aspect battery life impressive feature outstanding camera creative tool battery performance solid stunning display excellent value,0.651,0.0,0.349
great battery backup keep go day feature impressive camera take stunning photo battery performance solid display brilliant offer excellent value money,0.606,0.0,0.394
poor battery life barely last day feature lack camera disappoint battery performance unsatisfactory display underwhelme offer poor value money,0.087,0.406,0.507
disappointing device inadequate battery life feature limited camera performance subpar battery performance dreadful display lackluster provide regrettable value money,0.082,0.476,0.442
unsatisfactory performance battery life poor feature lack camera fall short battery performance disappointing uninspire display poor value money,0.089,0.432,0.48
regrettable purchase abysmal battery life feature miss camera letdown battery performance dreadful display subpar offer poor value money,0.091,0.414,0.494
awful battery backup barely last half day feature scarce camera disappoint battery performance terrible display uninspire offer poor value money,0.082,0.406,0.512
average battery life get day moderate use feature decent camera acceptable battery performance mediocre display passable provide reasonable value money,0.207,0.0,0.793
decent device battery life acceptable feature satisfactory camera job battery performance passable decent display reasonable value,0.356,0.0,0.644
acceptable performance battery life tolerable feature decent camera get job battery performance passable offer reasonable value money,0.239,0.0,0.761
