Reviews,Positive,Negative,Neutral
great camera pic video battery life good far set turn use use turn use power saving mode time day light gaming camera listening music car youtube bluetooth couple hour give day battery varing hour sot dayperformance notch play game task easevery premium phone lookread,0.187,0.0,0.813
great device let tell superb build quality great display camera great good lighting condition processing great sound superb quality great red colour look portrait mode photography superbread,0.625,0.0,0.375
ho love old size ie inch type definitely well xr xs good price usageread,0.543,0.0,0.457
iphone se good phone beautifully design give classy look palm performance wise benchmark disappoint budget purchase point size look will disappoint strongly recommend phone people work orient game love skip phone game phone good feature stunning look performance battery life goodread,0.432,0.087,0.482
second iphone iphone long time android user tell phone prospective buyer photo video enthusiast reliable camera fast excellent picture quality video absolutely stable professional quality amazed people shoot youtube video iphone downside display justice photo video take night photo read,0.29,0.084,0.626
totally worth price ios fan like compact phone want switch android iphone like click good photo camera unbeatable multitask normal phone stick app go hiatus lag like listen music speaker watch movie music feel like dolby atmosthere lot technical advantage not want yoread,0.39,0.043,0.567
mobile handy pack good performance nice camera iphone good experience apple battery bad hardly get hour screen time positive thing come know hour spend mobile poor battery mobile hour dayread,0.285,0.154,0.561
compact handy good image stability give amazing experience battery capacity little poor worth buy ratingread,0.376,0.127,0.497
go use apple time amazed performance wise phone ultra camera pretty good attach image take indoor display good good thing phone size easy use phone singe handedly excellent grip fit crisply pocketsthe bad thing battery long well power bank avoid sudden switch offread,0.445,0.086,0.469
purchase new iphone se base usage week rate product follow pro display quality good camera quality excellent take sharp image blurriness touch sensor work precisely durability phone good quality body aluminum durable aluminum mobileindustry read,0.229,0.0,0.771
people talk battery backup man love handset clean smooth smooth xr understand camera well xr battery xr well vote se bionic chip touch haptic reason beast segment want feel beast hand sexy look perfect masterpieceread,0.457,0.0,0.543
battery aside reason buy super fast awesome pair camera punchy speaker good look beautiful screen perfect size amazing user experience phone nonsensecoming battery aware care casual usage easily last easily give onscreen time hour day phone know youread,0.534,0.0,0.466
camera good mobile performance good inch display phone handy phone battery capacity good range phone good dual sim phone sim slot support esim well series iphone x xs xr software io latestread,0.396,0.0,0.604
let face main reason consider want compact phone not compromise power get os update year decent camera waterproofing wireless charging add advantage s thing ve well battery barely adequate day moderate bezel reduce screen body night mode camera software feature read,0.163,0.0,0.837
word beautiful iphone ❤ ️ premium feeljust doubt superb camera handy white color soo good phone not like big screen phonesread,0.369,0.156,0.474
iphone se look premium  batterymost people think mah battery sufficient 🧐 day usage play lot game especially pubg fully heavy usage play normal usage like moviewhat appfbinstagram twitter callcharging time take box charger performance like iphone max,0.234,0.0,0.766
fine mobile battery battery consumption brightness invideo reduction min phone reduction min hich bit fast consumption iphone sure regular battery consumption rate look nice meread,0.311,0.0,0.689
small powerful phone post review nearly month performance phone awesome lag experience application game battery phone good easily last day day usage internet like mail app photo surf etc call phone moderate phone user gamer battery point view charge twice day heavy usage moderate user likread,0.257,0.042,0.701
powerful small phone wish nowadays fad big screen phone like small powerful phone awesome camera tick box mind switch android go backread,0.512,0.0,0.488
like apple se nice handy mobile use single hand like go single handy mobile apple se hesitationread,0.458,0.0,0.542
frequent apple user not find difference compare iphone size display iphone ofcourse negative comment chip super fast ✌ ️overall iphone chip generation update smartphone negative comment camera apple topper capture moment get studio light face portrait camera wide photo frread,0.082,0.156,0.761
talk battery mah battery u know work like mah truly amazing phone optical image stabilisation video editing option gb variant good itread,0.416,0.0,0.584
amazing phone price come pure android background migrating datum little time battery backup day set feel phone give decent battery backup backup battery phone somewhat comparable android twice capacitycamera amazing use lighting colour tone natural close withread,0.229,0.0,0.771
switch iphone iphone se instead go iphone se come power great camera device size easily use hold single hand get deliver day available india great big fan io deep apple ecosystem ipad macbook airpod old ipod disappoint wonder different iphone practically read,0.294,0.049,0.657
iphone continuous day difference previous sony xzs android iphone easily noticeable camera well way thing miss previous phone framesec super slow motion recording performance way well android fast fast eye glue screen battery life ok fact issue phone fit read,0.305,0.032,0.663
finally await iphone come day order iphone se line powerful performance compact design affordable ratesfirst iphone life compare functionality previous android phonepro powerful chip affordable price suitable want have experience compact screen phone bazzels powerful camera experience bionic chip image processing power personally favourite prefread,0.217,0.0,0.783
amazing camera iphone  personal ask m finally buy phone late processor new thing amaze sooo handy enjoyable use beat phone enjoy itread,0.441,0.0,0.559
brilliant performance good compatible small screen battery average premium look sound quality awesome handy phone camera quality ❤ ️ ❤ ️ ❤ ️thank flipkartread,0.403,0.0,0.597
rite review week useupdate review week useinitially heating phone use problem disappeared get explore camera bit find good stability video goodpros good camera quality image quality good picture sharp good performance bokeh mode good performance phone lag far smooread,0.276,0.133,0.59
honest advice not watch tech reviewer video buy beasti purchase product honest review device look small way work truly switch screen go troublesome mah battery charge time minute fast chargingwireless charging support fast charger include gaming experience amazing pread,0.306,0.063,0.631
beast small powerful sleek design beautyi straight reason hy want want small screen phone work purpose phone apple product want pair late decent spend second thought hy battery drain low battery capacityread,0.234,0.057,0.708
get yesterday june order seller ship june hat happen flipkart come phone switch old se camera awesome way portrait lighting effect use obviously will battery average remain hour moderate usage display come inch screen feel like huge fair prefer compact phone touch d it’sread,0.223,0.0,0.777
ppl prefer small display ryt choice neat n clean notch performance ho r concerned battery battery combine chip efficency notch use charger come ipad buy separately min phone charger include box waste good switch optimise battery charging battery health setting b charge quicklyi use social medium app lread,0.212,0.052,0.737
jump old se new sethe screen body sized ratio perfect usage medium size palm highlight product elegance sleek design look good white colour performance packed coordinated gpu cpu u bezel phone u consider u decide buy product bring huge smile face term speed camera look io ecosystem longevity devicread,0.297,0.0,0.703
overprice india pro con day blaze fast processor run throw good single camera daylight photography night time good optimal screen size phone hand brilliant battery life day like phone atch youtube video increase battery life optimal use battery saver mode screen brightness canread,0.426,0.0,0.574
iphone happy slick gorgeous design perfect compact mobile performance amazing display softness little bit battery issue fast drain like need charge hour solve update definitely worth buy brandsread,0.546,0.0,0.454
iphone hv buy bit diff year hv android actually like camera omg awesome like feel classy battery good write review day think buy pls thanksread,0.46,0.0,0.54
good handset easy carry handle exceptional performance amazing display battery concern consume battery use internet especially stream video take picture thing perfect people like carry big handset pocket definitely remember play game u r internet need carry fast chargerread,0.411,0.0,0.589
device daily driver month inbuilt ai machine learning good manage thing have small battery mah perform day juice leave impressive awesome camera amazing performance thank bionic suggestion help long run overall good nice productread,0.488,0.023,0.488
nice phone actually iphone excited nd m happy phonenice phone game battery backup gaming suggest buy good powerbank fast charger u small finger good device uread,0.436,0.0,0.564
handy comfortable hold good phone buy want sleek design powerfull processor beautiful camera s fit pocket not hesitate buy phone instead oneplus afterall choice want phone tab sized phonep smallread,0.436,0.0,0.564
