Reviews,Positive,Negative,Neutral
excellent seal,0.787,0.0,0.213
not use gsm card network register try work not,0.0,0.0,1.0
love movil phone,0.677,0.0,0.323
great phone limitation,0.562,0.301,0.137
work jamaica,0.0,0.0,1.0
enjoy galaxy phone,0.615,0.0,0.385
phone work great problem complaint,0.373,0.445,0.182
phone work great problem complaint,0.373,0.445,0.182
great phone buyer deliver time describe,0.451,0.0,0.549
goodmuy bueno,0.0,0.0,1.0
get phone lock call samsung tell not unlock ve send phone yesterday,0.0,0.0,1.0
perfect,1.0,0.0,0.0
great phone,0.804,0.0,0.196
love arrive time buy phone husband love itit function far problem recommend interested person,0.538,0.107,0.356
speed like,0.714,0.0,0.286
great phone sim card work perfectly,0.675,0.0,0.325
unlocked work vietnam say need code know,0.0,0.0,1.0
love use phone phone come ith battery m go buy money ouldnt recommend definitely buy seller,0.439,0.0,0.561
perfect,1.0,0.0,0.0
excellent phone not problem purchase internet phone work good,0.596,0.0,0.404
good phone look quality performance speed camera feature phone phenomenal love upgrade,0.415,0.0,0.585
galaxy come battery,0.0,0.0,1.0
great phone great camera great regret whatsoever,0.68,0.155,0.166
galaxy say spec alreadyi buy phone wife birthday get happyit original unlock take provider soon got boot see chinese language wife get scared say not originalso let explain model europe language preset chinese reason english switch quickly english start activation processeverythe work fine lte area work switch network available provider blaze fast phone compare exynos versionwe locate caribbean live near part work fine provider issue far phone hy star fact perfect not wrong great phone bell whistle big,0.136,0.069,0.795
gerat,0.0,0.0,1.0
excellent seal,0.787,0.0,0.213
not use gsm card network register try work not,0.0,0.0,1.0
love movil phone,0.677,0.0,0.323
great phone limitation,0.562,0.301,0.137
work jamaica,0.0,0.0,1.0
enjoy galaxy phone,0.615,0.0,0.385
phone work great problem complaint,0.373,0.445,0.182
phone work great problem complaint,0.373,0.445,0.182
great phone buyer deliver time describe,0.451,0.0,0.549
goodmuy bueno,0.0,0.0,1.0
get phone lock call samsung tell not unlock ve send phone yesterday,0.0,0.0,1.0
perfect,1.0,0.0,0.0
great phone,0.804,0.0,0.196
love arrive time buy phone husband love itit function far problem recommend interested person,0.538,0.107,0.356
speed like,0.714,0.0,0.286
great phone sim card work perfectly,0.675,0.0,0.325
unlocked work vietnam say need code know,0.0,0.0,1.0
love use phone phone come ith battery m go buy money ouldnt recommend definitely buy seller,0.439,0.0,0.561
perfect,1.0,0.0,0.0
excellent phone not problem purchase internet phone work good,0.596,0.0,0.404
good phone look quality performance speed camera feature phone phenomenal love upgrade,0.415,0.0,0.585
galaxy come battery,0.0,0.0,1.0
great phone great camera great regret whatsoever,0.68,0.155,0.166
galaxy say spec alreadyi buy phone wife birthday get happyit original unlock take provider soon got boot see chinese language wife get scared say not originalso let explain model europe language preset chinese reason english switch quickly english start activation processeverythe work fine lte area work switch network available provider blaze fast phone compare exynos versionwe locate caribbean live near part work fine provider issue far phone hy star fact perfect not wrong great phone bell whistle big,0.136,0.069,0.795
gerat,0.0,0.0,1.0
